id_rna;nom_association;objet;code_objet_1;code_objet_2;date_creation;date_publication;code_postal;commune;statut
353P0353012590;ASSOCIATION KEVNIDENN (ARAIGNEES);Developper et favoriser les connaissances sur les araignees de l'ouest de la france;015075;000000;;;35000;RENNES;A
353P0353012591;ASSOCIATION KEJADENN;Stages musicaux, formation instrumentale et pratiques collecti ves;006000;006030;;;35000;RENNES;A
353P0353012593;ASSOCIATION BRUIT DE LIRE;Promouvoir le livre et la lecture;007000;006010;;;35520;MEZIERE;A
353P0353012594;CLUB EXPANSION ECONOMIQUE DE LA MEZIERE;Offrir a tous les chefs d'entreprise de la commune une instan- ce de dialogue, favoriser leur promotion, coordonner et impul- ser des actions des initiatives propres a assurer le developpe ment des entreprises de la meziere;022000;022542;;;35520;MEZIERE;A
353P0353012595;ASSOCIATION DEPARTEMENTALE D'ILLE-ET-VILAINE DE PADDLE;Developper l'activite du sport de paddle;011000;000000;;;35000;RENNES;A
353P0353012596;ASSOCIATION DE RECHERCHES SUR L'ENTREPRISE (A.R.S.E.);Susciter, proproser, realiser toutes recherches sur les pheno- menes economiques, sociaux et juridiques determines par l'emer gence de l'entreprise dans la societe contemporaine, partici-;022000;022542;;;35000;RENNES;A
353P0353012597;GROUPE DE RECHERCHE APPLIQUEE A LA FERTILITE (GRAF);Developper toutes etudes consacrees a la conservation des game tes en vue de fecondation artificielle, assurer une coordina- tion entre les recherches realisees pour les centres d'insemi- nations de differentes especes animales;017000;017125;;;35000;RENNES;A
353P0353012599;CLUB LUDIQUE BETTONAIS;Favoriser les contacts amicaux entre tous les membres de l'association et developper la pratique des jeux de simu lation et de strategie;007000;006005;;;35830;BETTON;A
353P0353012601;ASSOCIATION SOIREE DANIELLE (A.S.D.);Proposer diverses animations sur la commune de chantepie;007000;000000;;;35135;CHANTEPIE;A
353P0353012603;ASSOCIATION REGIONALE DES ETUDIANTS DE BRETAGNE ATLANTI;Assurer et promouvoir le developpement culturel, moral et inte llectuel des etudiants ainsi que l'amelioration, par tous mo- yens, des conditions de vie des etudiants;015075;000000;;;35000;RENNES;A
353P0353012605;ASSOCIATION LES PIC-VERTS DU PONT;Encourager la pratique des darts a tout ~ID~ge tant chez les fem- mes que chez les hommes et de promouvoir la pratique de ce sport;011000;000000;;;35740;PACE;A
353P0353012608;ASSOCIATION DES ANCIENS MASTERES RESEAUX DE L'E.N.S.T.;Aider au progres professionnel de ses membres par diffusion de techniques et de connaissances acquises dans le domaine des te lecommunications;014000;014030;;;35510;CESSON-SEVIGNE;A
353P0353012612;ASSOCIATION EN AVANT LA FRANCE;Creer un mouvement national en vue de soutenir l'equipe fran- caise du defi a l'america's cup et contribuer par la qualite et le nombre de supporters a maintenir le moral de l'equipe au niveau necessaire pour la reussite du defi;011000;011095;;;35000;RENNES;A
353P0353012613;ASSOCIATION FRANCE AUSTRALIE DELEGATION BRETAGNE-PAYS D;Favoriser par tous les moyens une meilleure connaissance reci- proque et le developpement de liens etroits entre les peuples australiens et francais;007000;009050;;;35000;RENNES;A
353P0353012616;ASSOCIATION LES MEULES D'OR;Aboutir a une creation artistique propre a partir de diffe- rents supports (video, photo, dessin, peinture, publication ecrite...);006000;000000;;;35000;RENNES;A
353P0353012617;SOCIETE D'ELECTRORADIOLOGIE MEDICALE DE L'OUEST;Promotion de l'enseignement et de la recherche en radiologie;017000;017125;;;35000;RENNES;A
353P0353012620;ASSOCIATION AVENTURE, SPORT, TOURISME, ORGANISATION  (A.S.T.O);Assurer la promotion et l'organisation d'activites sportives culturelles et touristiques;011000;006000;;;35000;RENNES;A
353P0353012621;ASSOCIATION DUO DANSES;Promouvoir la danse;006000;006040;;;35590;SAINT-GILLES;A
353P0353012623;ASSOCIATION OLYMPIC DE MINIAC;Pratique du sport et plus particulierement du football;011000;011075;;;35190;MINIAC-SOUS-BECHEREL;A
353P0353012625;ASSOCIATION INTERCOM 1901;Etude de projets, elaboration dossiers sponsors, recherche de sponsors, creation de logos;022000;022542;;;35650;RHEU;A
353P0353012627;SOCIETE RAYMOND-ROUSSEL;Cette association a pour but le rayonnement de la vie et l'oeu vre de l'ecrivain raymond-roussel par tous les moyens juges conformes a cet objectif;006000;006010;;;35000;RENNES;A
353P0353012629;ASSOCIATION LA PAUSE FLECHETTES;Regrouper les joueurs de flechettes de la pause (bar la pause);011000;011175;;;35000;RENNES;A
353P0353012630;ASSOCIATION MOSAIQUE;Permettre a ses membres de realiser des reportages et de les diffuser;005000;005015;;;35000;RENNES;A
353P0353012632;AGENCE LENS;Realiser, distribuer et exploiter des oeuvres et des reporta- ges photographiques;006000;006025;;;35000;RENNES;A
353P0353012634;ASSOCIATION COURS NATHALIE GARDANT;Enseignement de la danse sous toutes ses formes et creation d'un centre artistique et choregraphique;006000;006040;;;35000;RENNES;A
353P0353012637;ASSOCIATION RENNES - NEIGE;Organisation de sejours neige;007000;034240;;;35000;RENNES;A
353P0353012638;ASSOCIATION LE LOTUS;Enseignement et formation a differentes techniques d'eveil et de developpement personnel;015000;000000;;;35000;RENNES;A
353P0353012640;ASSOCIATION GESTION RESIDENCE PERSONNES AGEES LA CALYPS  CALYPSO);Gerer la residence administration restauration personnel;021020;000000;;;35000;RENNES;A
353P0353012641;ASSOCIATION BOCAGE - BATIR DES OUTILS CONCILIANT AGRICU   L'ENVIRONNEMENT;Mettre au point et promouvoir des pratiques agricoles respectu euses de l'environnement dans le contexte des sols du climat et des productions les plus frequentes de l'ouest de la france;023020;000000;;;35000;RENNES;A
353P0353012645;COMPAGNIE NIKITA;Creation d'une compagnie de danse et organisation de specta- cles et promotion de cette compagnie;006000;006040;;;35000;RENNES;A
353P0353012647;ASSOCIATION GLAM RECORDS;Production diffusion promotion et la commercialisation de musiques actuelles ainsi que toute activite ayant rapport a la musique;006000;006030;;;35000;RENNES;A
